Variable Explanation:

senator- Name of Senator (first last)
party- 0= Republican, 1= Democrat, 2= Independent
sex- 1=Male, 0=Female
trade_date- Date of initial transaction
owner- Owner of the trade (Spouse, Child, or Self=Senator)
ticker- Stock Ticker
type- Purchase or Sale
trade_amount_max- Maximum amount the trade could have been
trade_amount_min- Minimum amount the trade could have been
buy_one_year_change- One year change in value of the stock purchased from the date of transaction
one_mo_vtsax_change- One month change in value of the VTSAX from the date of transaction
one_year_vtsax_change- One year change in value of the VTSAX from the date of transaction
buy_compare_one_year- Change in stock value minus change in VTSAX after one year from date of transaction
one_month_sell- One month change in value of the stock sold from the date of transaction
one_month_sell_compare- Change in stock value minus change in VTSAX after one month from date of transaction
weight- Weighted value of the average between the minimum and maximum amount the trade could have been

Data:

senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight
William Cassidy,0,1,05nov2020,Spouse,MSFT,Sale,15000,1000,,.056592966,,,-.040530252,-.097123218,1
William Cassidy,0,1,05nov2020,Spouse,MDT,Sale,15000,1000,,.056592966,,,.081338333,.024745367,1
William Cassidy,0,1,05nov2020,Spouse,LOW,Sale,15000,1000,,.056592966,,,-.102097489,-.158690455,1
William Cassidy,0,1,05nov2020,Spouse,IBM,Sale,15000,1000,,.056592966,,,.077023612,.020430646,1
William Cassidy,0,1,05nov2020,Spouse,DOW,Sale,15000,1000,,.056592966,,,.094547682,.037954716,1
William Cassidy,0,1,05nov2020,Spouse,DIS,Sale,15000,1000,,.056592966,,,.206994329,.150401363,1
William Cassidy,0,1,05nov2020,Spouse,CMCSA,Sale,15000,1000,,.056592966,,,.1632469,.106653934,1
William Cassidy,0,1,05nov2020,Spouse,CSCO,Sale,15000,1000,,.056592966,,,.184797207,.128204241,1
William Cassidy,0,1,05nov2020,Spouse,CVS,Sale,15000,1000,,.056592966,,,.18091516,.124322194,1
William Cassidy,0,1,05nov2020,Spouse,BLK,Sale,15000,1000,,.056592966,,,.070683488,.014090522,1
William Cassidy,0,1,05nov2020,Spouse,AAPL,Sale,15000,1000,,.056592966,,,.032848862,-.023744104,1
William Cassidy,0,1,05nov2020,Spouse,AMGN,Sale,15000,1000,,.056592966,,,-.021813165,-.078406131,1
Pat Roberts,0,1,04nov2020,Spouse,COST,Sale,50000,15000,,.076950064,,,.019485871,-.057464194,4.0599999
Pat Roberts,0,1,04nov2020,Spouse,NVDA,Sale,50000,15000,,.076950064,,,-.01810537,-.095055434,4.0599999
Pat Roberts,0,1,04nov2020,Spouse,--,Sale,50000,15000,,.076950064,,,,,4.0599999
Thomas Carper,1,1,30oct2020,Spouse,IJR,Sale,15000,1000,,.128388369,,,.209247431,.080859063,1
Thomas Carper,1,1,30oct2020,Spouse,--,Purchase,15000,1000,,.128388369,,,,,1
Thomas Carper,1,1,30oct2020,Spouse,--,Purchase,15000,1000,,.128388369,,,,,1
Mark Warner,1,1,27oct2020,Self,--,Sale,5000000,1000000,,.084333056,,,,,31.25
Ron Wyden,1,1,16oct2020,Child,NVDA,Purchase,15000,1000,,.031101861,,,,,1
Ron Wyden,1,1,16oct2020,Child,WDAY,Purchase,15000,1000,,.031101861,,,,,1
Ron Wyden,1,1,16oct2020,Child,NVDA,Purchase,15000,1000,,.031101861,,,,,1
Ron Wyden,1,1,16oct2020,Child,WDAY,Purchase,15000,1000,,.031101861,,,,,1
Ron Wyden,1,1,16oct2020,Child,NVDA,Purchase,15000,1000,,.031101861,,,,,1
Ron Wyden,1,1,16oct2020,Child,WDAY,Purchase,15000,1000,,.031101861,,,,,1
Sheldon Whitehouse,1,1,13oct2020,Joint,--,Sale,15000,1000,,.011705302,,,,,1
Pat Roberts,0,1,13oct2020,Spouse,BBY,Sale,15000,1000,,.011705302,,,-.047204128,-.05890943,1
Pat Roberts,0,1,13oct2020,Spouse,NVAX,Sale,15000,1000,,.011705302,,,-.32861528,-.340320581,1
Richard Blumenthal,1,1,13oct2020,,,,,,,.011705302,,,,,
Sheldon Whitehouse,1,1,09oct2020,Self,FTV,Purchase,15000,1000,,.010542169,,,,,1
